subcode,SSRT_motorsel,SSRT_stimsel,SSRT_high,SSRT_low,UPPS.lack_of_perseverance,UPPS.lack_of_premeditation,UPPS.negative_urgency,UPPS.positive_urgency,UPPS.sensation_seeking,spatial.forward_span,spatial.reverse_span,digit.forward_span,digit.reverse_span,SSS.boredom_susceptibility,SSS.disinhibition,SSS.experience_seeking,SSS.thrill_adventure_seeking,Dickman.dysfunctional,Dickman.functional
s230,0.1335635445033148,-0.33186527710208397,-0.2903140868188129,-0.16321250852713723,-1.413599594543182,-0.4692405155605748,-0.07073845982211069,-0.8225624814229993,1.6768627266253253,-1.3847062277225561,-2.0073320300615554,-0.19438342526521113,0.14046683275313218,2.048271668399089,2.274752060470011,1.9518705663107256,0.2990839963113836,-0.561056905097761,1.5601238004373814
s233,2.241634815515649,2.0708708047865665,-0.2310513916661443,0.22379476152232344,1.6185109281743912,-0.4692405155605748,2.0880945361444994,2.169101910998128,-1.8567852560528326,-1.3847062277225561,-1.6608149366040017,0.4804983545881592,-0.4805796885290009,2.048271668399089,0.3124450066307217,-0.37321811925358145,-1.3165970327133982,0.3167485820746588,-1.0255164194608184
s234,2.6564566651623043,0.5492251033079045,0.3134246200421929,0.39233018557666444,0.013275945559205396,1.370801607333981,1.6833133493906407,2.2887684866480633,0.14561526751190537,-0.7620720246284496,-0.5057579584121571,-1.1585002536271685,-1.5846623930305719,-0.7297061466791194,0.3124450066307217,-1.303253593311898,-0.6703246211034856,2.0723595558928136,0.12365701146459376
s236,-1.5305755716225473,-0.9436609715110305,-1.094064389817575,0.35799889549214503,-1.2352401520303833,-0.28523630308895476,-1.2850820200836874,-1.0618956328904041,0.381191799596219,-0.26396466215316494,-0.2747465627737879,0.5769100374243545,-0.5495848575603495,0.6592827608599848,-0.4724778149049939,0.5568173552232512,1.2684926137262529,-0.561056905097761,-0.7382230617294657
s240,-0.2012049657378454,-0.4495182952576506,-0.20142004409092107,0.12392191763889365,0.013275945559205396,1.1867973950647661,0.3340427269317482,1.3314358811135112,0.14561526751190537,0.7322500627974055,0.3027819263221344,0.67332172026055,-0.06654867434091218,0.19628645834695,-0.08001640413713598,-1.303253593311898,-0.3471884152985292,1.633456812569946,-0.16363634626675963
s241,-0.7130611661780695,0.31914809002538475,0.05785424719950401,0.9478728796823385,0.9050731581231971,-1.0212531523682202,-0.8803008333298284,-0.8225624814229993,-1.150055659517201,0.8567769034162275,1.22682750887561,1.0589684516053333,0.07146166372178427,-0.7297061466791194,-0.4724778149049939,-0.37321811925358145,-0.993460826908442,-0.561056905097761,-1.3128097771921718
s243,-0.9459436080849636,0.7008667711533799,-0.19586416642042784,-1.1494568418827937,0.36999483058480215,-0.4692405155605748,-1.2850820200836874,-0.5832293301231279,-0.32553779693941254,1.2303574252726912,0.07177053068376528,-2.219028764825322,-1.5156572239992234,-0.2667098441660847,-0.8649392256728516,-0.37321811925358145,-0.993460826908442,-0.561056905097761,0.9855370849746752
s244,1.2470327198706521,1.5793426400482775,0.6875203831879968,0.7450061655434781,1.0834326006359956,0.6347847582571206,0.1991156647344325,-0.9422290572404682,-0.9144791272915417,-1.1356525464849143,-1.1987921453272645,-0.19438342526521113,0.07146166372178427,1.1222790633730195,1.0973678281664376,-0.37321811925358145,-0.6703246211034856,-0.561056905097761,-0.45092970399811233
s245,0.37129770395090606,1.5610410594457775,0.5615871559894094,-0.2568432996684378,1.4401514856615927,0.6347847582571206,0.6038968514882914,0.6134364268788297,-0.5611143290237259,-0.26396466215316494,-0.15924086495460385,-0.5800301566099945,-0.4805796885290009,-0.7297061466791194,-0.8649392256728516,0.5568173552232512,-1.3165970327133982,-0.12215416177489333,0.12365701146459376
s246,-0.5796389338365483,-0.31617820801467506,0.3578716414061388,0.36736197460627507,3.0453864682767784,1.1867973950647661,1.143605100439466,0.7331030025287651,-0.4433260629815694,-0.014910980915522048,0.07177053068376528,1.251791817277724,-1.1016262098111347,0.6592827608599848,1.4898292389342953,-0.37321811925358145,-0.6703246211034856,0.7556513253975264,-1.0255164194608184
